index,tweet,sentimen
68,"['berkalikali', 'audiensi', 'perwakilan', 'organisasi', 'masyarakat', 'pakar', 'perguruan', 'mahasiswa', 'pegiat', 'media', 'sosial', 'perwakilan', 'masyarakat', 'lintas', 'profesi', 'concern']",Positif
69,"['penghargaan', 'aktivis', 'akademisi', 'tokoh', 'lintas', 'keilmuan', 'bersumbangsih', 'substansi', 'konstruktif', 'mewakili', 'kepentingan']",Positif
70,"['terwujud', 'upaya', 'elemen', 'bangsa', 'masyarakat', 'sipil', 'menggaungkan', 'menyumbang', 'ide', 'pemikiran']",Negatif
71,"['mengapresiasi', 'membantu', 'mewujudkan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
72,"['adan', 'heem', 'paham', 'islam', 'menggauli', 'istri', 'akhlak', 'memaksa', 'beneran', 'mengamalkan', 'sadar', 'emang', 'coba', 'cari', 'disahkan', 'hukum', 'agama', 'beneran']",Positif
73,"['tujuan', 'pengesahan']",Positif
74,"['sah', 'tunggu', 'perbaikan', 'kuhp', 'melegitimasi', 'paradigma', 'liberal', 'serbaserbi', 'mmc']",Positif
75,"['podcast', 'bicara', 'politik', 'ksbo', 'disolusi']",Negatif
76,"['pengesahan', 'undang', 'undang', 'bentuk', 'hadiah', 'perempuan', 'indonesia', 'menjelang', 'kartini']",Positif
77,"['keberpihakan', 'isu', 'perempuan', 'tunjukkan', 'membela', 'kepentingan', 'perempuan']",Positif
78,"['menempatkan', 'mendorong', 'perjuangan', 'maksimal']",Positif
79,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
80,"['terima', 'kasih', 'kepemimpinannya', 'mendorong', 'disahkannya']",Positif
81,"['evita', 'pujiannya', 'dedikasinya', 'kerasnya', 'mendukung', 'pembahasan', 'pengesahan']",Positif
82,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
83,"['menko', 'pmk', 'salah', 'tokoh', 'memperjuangkan', 'disahkan']",Positif
84,"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
85,"['keberpihakan', 'isu', 'perempuan', 'tunjukkan', 'membela', 'kepentingan', 'perempuan']",Positif
86,"['menempatkan', 'mendorong', 'perjuangan', 'maksimal']",Positif
87,"['persetujuan', 'hubungan', 'seksual', 'bab', 'pasal', 'disitu', 'jls', 'bhw', 'belah', 'setuju', 'mengindahkan', 'pernikahan', 'dasar', 'suka', 'suka', 'sm', 'melegalkn', 'seks', 'bebas']",Negatif
88,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
89,"['lahirnya', 'terpisahkan']",Netral
90,"['kado', 'masyarakat', 'indonesia', 'jelang', 'kartini']",Positif
91,"['sah', 'tunggu', 'perbaikan', 'kuhp', 'melegitimasi', 'paradigma', 'liberal', 'serbaserbi', 'mmc']",Positif
92,"['podcast', 'bicara', 'politik', 'ksbo', 'disolusi']",Negatif
93,"['podcast', 'bicara', 'politik', 'ksbo', 'disolusi']",Negatif
94,"['tujuan', 'pengesahan']",Positif
95,"['mencegah', 'kekerasan', 'seksual', 'seksual', 'konsen', 'membolehkan', 'zina']",Netral
96,"['ketentuan', 'pidana', 'diatur']",Netral
97,"['kemarin', 'menolak', 'perilakunya', 'senang', 'kesetaraan', 'gender', 'menganggap', 'diskrminasi', 'wanita']",Netral
98,"['desak', 'pemerintah', 'selesaikan', 'aturan', 'turunan']",Negatif
99,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
100,"['krew', 'miss', 'konstruksi', 'bersetubuh', 'suka', 'suka', 'nikah', 'dilarangapakah', 'bersetubuh', 'jenis', 'dilarang']",Negatif
101,"['hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual']",Positif
102,"['menko', 'pmk', 'salah', 'tokoh', 'memperjuangkan', 'disahkan']",Positif
103,"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
104,"['keberpihakan', 'isu', 'perempuan', 'tunjukkan', 'membela', 'kepentingan', 'perempuan']",Positif
105,"['menempatkan', 'mendorong', 'perjuangan', 'maksimal']",Positif
106,"['terima', 'kasih', 'pemerintah', 'samanya', 'penyusunan']",Positif
107,"['korban', 'kekerasan', 'seksual', 'kaum', 'perempuan', 'kalangan', 'lakilaki', 'memperjuangkan', 'berpartisipasipuan']",Positif
108,"['mengapresiasi', 'membantu', 'mewujudkan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
109,"['perwakilan', 'pejuang', 'berterima', 'kasih', 'merealisasikan', 'komitmennya']",Positif
110,"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
111,"['hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual']",Positif
112,"['seiring', 'berlakunya', 'pemangku', 'kepentingan', 'masukan', 'konstruktif', 'kesempurnaan', 'aturan', 'hukum']",Positif
113,"['keberhasilan', 'realisasi', 'luput', 'berkat', 'dukungan', 'elemen', 'masyarakat']",Negatif
114,"['keberhasilan', 'realisasi', 'luput', 'berkat', 'dukungan', 'elemen', 'masyarakat']",Negatif
115,"['fjpi', 'gelar', 'webinar', 'mengawal', 'desa', 'ramah', 'perempuan', 'peduli', 'anak']",Positif
116,"['implementasi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual', 'perlindungan', 'perempuan', 'anak', 'indonesia']",Negatif
117,"['hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual']",Positif
118,"['seiring', 'berlakunya', 'pemangku', 'kepentingan', 'masukan', 'konstruktif', 'kesempurnaan', 'aturan', 'hukum']",Positif
119,"['keberhasilan', 'realisasi', 'luput', 'berkat', 'dukungan', 'elemen', 'masyarakat']",Negatif
120,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
121,"['terima', 'kasih', 'pemerintah', 'samanya', 'penyusunan']",Positif
122,"['korban', 'kekerasan', 'seksual', 'kaum', 'perempuan', 'kalangan', 'lakilaki', 'memperjuangkan', 'berpartisipasipuan']",Positif
123,"['berkalikali', 'audiensi', 'perwakilan', 'organisasi', 'masyarakat', 'pakar', 'perguruan', 'mahasiswa', 'pegiat', 'media', 'sosial', 'perwakilan', 'masyarakat', 'lintas', 'profesi', 'concern']",Positif
124,"['penghargaan', 'aktivis', 'akademisi', 'tokoh', 'lintas', 'keilmuan', 'bersumbangsih', 'substansi', 'konstruktif', 'mewakili', 'kepentingan']",Positif
125,"['mengapresiasi', 'membantu', 'mewujudkan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
126,"['webinar', 'mengawal', 'desa', 'ramah', 'perempuan', 'peduli', 'anak', 'drppa']",Positif
127,"['menko', 'pmk', 'salah', 'tokoh', 'memperjuangkan', 'disahkan']",Positif
128,"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
129,"['tamah', 'kelompok', 'perempuan', 'serap', 'masukan', 'implementasi', 'suara', 'pemimpin', 'redaksi']",Negatif
130,"['keberpihakan', 'isu', 'perempuan', 'tunjukkan', 'membela', 'kepentingan', 'perempuan']",Positif
131,"['menempatkan', 'mendorong', 'perjuangan', 'maksimal']",Positif
132,"['desak', 'pemerintah', 'selesaikan', 'aturan', 'turunan', 'selengkapnya', 'cewenya', 'giselle', 'ronaldo', 'seram', 'suaka', 'tokyo', 'maguire', 'aura']",Negatif
133,"['podcast', 'bicara', 'politik', 'ksbo', 'disolusi']",Negatif
134,"['podcast', 'bicara', 'politik', 'ksbo', 'disolusi']",Negatif
135,"['diah', 'tegaskan', 'memiliki', 'peran', 'dibalik', 'tokyo', 'gissele', 'manchester', 'united', 'aura', 'maguire', 'suaka', 'seram', 'adik', 'gea', 'zidan', 'johnny', 'karina', 'kangen', 'band', 'varane', 'sterling', 'sejeong', 'tenlee', 'new', 'song', 'gdc']",Negatif
136,"['dorong', 'pemerintah', 'susun', 'aturan', 'turunan', 'tokyo', 'gissele', 'manchester', 'united', 'aura', 'maguire', 'suaka', 'seram', 'adik', 'gea', 'zidan', 'johnny', 'karina', 'kangen', 'band', 'varane', 'sterling', 'sejeong', 'tenlee', 'new', 'song', 'gdc']",Negatif
137,"['ange', 'perjuangkan', 'disahkannanti', 'dimasa', 'kawal', 'dorong', 'teurs', 'pemerintah', 'kasih', 'payung', 'hukum', 'kuat', 'biar', 'gender', 'equality', 'diterapkan']",Negatif
138,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
139,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
140,"['terima', 'kasih', 'kepemimpinannya', 'mendorong', 'disahkannya']",Positif
141,"['baiknya', 'teruskan', 'jalur', 'hukum', 'sah', 'dimanfaatin', 'sayangg', 'kasian', 'dibikin', 'susah', 'dimanfaatin', 'semoga', 'lakik', 'dihukum', 'plus', 'sanksi', 'sosial', 'spill', 'baiknya']",Negatif
142,"['evita', 'pujiannya', 'dedikasinya', 'kerasnya', 'mendukung', 'pembahasan', 'pengesahan']",Positif
143,"['kemarin', 'disahkan', 'terbaik', 'lakukan', 'masyarakat', 'kaum', 'perempuan', 'mendambakan', 'payung', 'hukum', 'dekade', 'silam']",Positif
144,"['pengesahan', 'undang', 'undang', 'bentuk', 'hadiah', 'perempuan', 'indonesia', 'menjelang', 'kartini']",Positif
145,"['ri', 'penghargaan', 'elemen', 'perempuan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
146,"['haru', 'lega', 'rasakan', 'beleid', 'disahkan', 'pengesahan', 'hadiah', 'perempuan', 'indonesia', 'jelang', 'peringatan', 'kartini']",Positif
147,"['perwakilan', 'pejuang', 'berterima', 'kasih', 'merealisasikan', 'komitmennya']",Positif
148,"['dinilai', 'berperan', 'pengesahan', 'sobat']",Positif
149,"['memiliki', 'sensitivitas', 'kepedulian', 'perempuan', 'tergambar', 'menitikkan', 'air', 'mengesahkan']",Positif
150,"['pemaksaan', 'perkawinan', 'alasan', 'apapun', 'salah', 'kekerasan', 'seksual', 'dipidana']",Negatif
151,"['syukur', 'banget', 'permendikbud', 'diteguhkan', 'dosen', 'pdamping', 'multi', 'fak', 'tergabung', 'student', 'kampus', 'peka', 'mendengarkan', 'kunci', 'membantu', 'kesehatan', 'mental', 'mhsw', 'komit', 'benteng', 'abang', 'korban', 'ks', 'nampang', 'pembekalan']",Positif
152,"['untung', 'sah', 'sabi', 'laporkan']",Positif
153,"['tertawa', 'takut', 'dm', 'krna', 'ancam', 'pakai']",Negatif
154,"['kekerasan', 'seksual', 'trend', 'mpr', 'mahasiswa', 'kawal']",Negatif
155,"['ramah', 'tanah', 'kelompok', 'perempuan', 'serap', 'masukan', 'implementasi']",Negatif
156,"['sah', 'tunggu', 'perbaikan', 'kuhp', 'melegitimasi', 'paradigma', 'liberal', 'serbaserbi', 'mmc', 'ri', 'mengesahkan', 'islam', 'memandang']",Positif
157,"['bicara', 'laki', 'korban', 'komunikasikan', 'kaum', 'feminis', 'indonesia', 'hubungkan', 'eksistensi']",Netral
158,"['berhasil', 'bikin', 'rekan', 'kantor', 'sp', 'since', 'capture', 'kegiatan', 'foto', 'cctv', 'serem', 'banget', 'koleksi', 'capturan', 'aktivitas', 'gasih']",Positif
159,"['alsa', 'legal', 'sharing', 'aspekaspek', 'pengurangan', 'skala', 'kekerasan', 'seksual', 'indonesia', 'full', 'full', 'version', 'access']",Positif
160,"['menko', 'pmk', 'salah', 'tokoh', 'memperjuangkan', 'disahkan']",Positif
161,"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
162,"['keberpihakan', 'isu', 'perempuan', 'tunjukkan', 'membela', 'kepentingan', 'perempuan']",Positif
163,"['menempatkan', 'mendorong', 'perjuangan', 'maksimal']",Positif
164,"['disahkan', 'menghadirkan', 'pinky', 'saptandari', 'ep', 'dra', 'beliau', 'akademisi', 'dosen', 'fakultas', 'ilmu', 'sosial', 'ilmu', 'politik', 'universitas', 'airlangga', 'menggeluti', 'permasalahan', 'gender', 'indonesia']",Positif
165,"['workshop', 'permendikbud', 'ristek', 'workshop', 'permendikbud', 'ristek', 'program', 'kementerian', 'kesetaraan', 'gender', 'perlindungan', 'anak', 'bem', 'universitas', 'airlangga', 'workshop', 'mengupas', 'tuntas', 'isuisu', 'berkaitan', 'permendikbud', 'ristek']",Positif
166,"['webinar', 'mengawal', 'desa', 'ramah', 'perempuan', 'peduli', 'anakdrppa']",Positif
167,"['liveuu', 'legalisasi', 'zina']",Negatif
168,"['liveuu', 'legalisasi', 'zina']",Negatif
169,"['selamat', 'sore', 'komnas', 'perempuan', 'mengajak', 'berkumpul', 'pertemuan', 'virtual', 'ucapan', 'syukur', 'ruang', 'refleksi', 'gerak', 'juang', 'mengawal', 'mari', 'persiapkan', 'kawal', 'pelaksanaan', 'sebaikbaiknya']",Positif
170,"['serap', 'masukan', 'implementasi']",Netral
171,"['ramah', 'tanah', 'kelompok', 'perempuan', 'serap', 'masukan', 'implementasi']",Negatif
172,"['disahkan', 'lakukan', 'hadiri', 'dialog', 'publik', 'april', 'diskusi', 'mengawal', 'implementasi', 'berpihak', 'korban', 'inklusif', 'kolaboratif', 'silahkan', 'bergabung']",Negatif
173,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
174,"['terima', 'kasih', 'kknya', 'korban', 'opsi', 'diselesaikan', 'damaikekeluargaan', 'diselesaikan', 'dijalur', 'hukum', 'perlindungan', 'korban', 'saksi', 'korban', 'dituntut']",Positif
175,"['terima', 'kasih', 'kepemimpinannya', 'mendorong', 'disahkannya']",Positif
176,"['mengajak', 'masyarakat', 'berdoa', 'ucapan', 'syukur', 'hasil', 'perjuangan', 'pengesahan']",Positif
177,"['pengesahan', 'undang', 'undang', 'bentuk', 'hadiah', 'perempuan', 'indonesia', 'menjelang', 'kartini']",Positif
178,"['evita', 'pujiannya', 'dedikasinya', 'kerasnya', 'mendukung', 'pembahasan', 'pengesahan']",Positif
179,"['haru', 'lega', 'rasakan', 'beleid', 'disahkan', 'pengesahan', 'hadiah', 'perempuan', 'indonesia', 'jelang', 'peringatan', 'kartini']",Positif
180,"['menyertakan', 'nilai', 'agama', 'salah', 'diulangi', 'setuju', 'zina', 'kh', 'paham', 'definisi', 'tunjukan', 'dmna', 'definisi', 'kekerasan', 'seksual']",Positif
181,"['penghargaan', 'aktivis', 'akademisi', 'tokoh', 'lintas', 'keilmuan', 'bersumbangsih', 'substansi', 'konstruktif', 'mewakili', 'kepentingan', 'kartini']",Positif
182,"['berkalikali', 'audiensi', 'perwakilan', 'organisasi', 'masyarakat', 'pakar', 'perguruan', 'mahasiswa', 'pegiat', 'media', 'sosial', 'perwakilan', 'masyarakat', 'lintas', 'profesi', 'concern', 'kartini']",Positif
183,"['konstruksi', 'bersetubuh', 'suka', 'suka', 'nikah', 'dilarangbersetubuh', 'jenis', 'dilarang']",Netral
184,"['haru', 'lega', 'rasakan', 'beleid', 'disahkan', 'pengesahan', 'hadiah', 'perempuan', 'indonesia', 'jelang', 'peringatan', 'kartini']",Positif
185,"['dinilai', 'berperan', 'pengesahan', 'sobat']",Positif
186,"['memiliki', 'sensitivitas', 'kepedulian', 'perempuan', 'tergambar', 'menitikkan', 'air', 'mengesahkan']",Positif
187,"['berkoordinasi', 'pemerintah', 'presiden', 'joko', 'widodo', 'jokowi']",Positif
188,"['hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual']",Positif
189,"['kemarin', 'disahkan', 'terbaik', 'lakukan', 'masyarakat', 'kaum', 'perempuan', 'mendambakan', 'payung', 'hukum', 'dekade', 'silam']",Positif
190,"['pengesahan', 'tanda', 'peradaban', 'indonesia', 'mencegah', 'bentuk', 'kekerasan', 'seksual', 'darurat']",Positif
191,"['sikap', 'dinilai', 'konsisten', 'serius', 'memperjuangkan']",Netral
192,"['netizen', 'mengapresiasi', 'sikap', 'dinilai', 'serius', 'memperjuangkan', 'disahkan', 'undang', 'undang']",Positif
193,"['masyarakat', 'mengawal', 'implementasi']",Netral
194,"['mengajak', 'masyarakat', 'berdoa', 'ucapan', 'syukur', 'hasil', 'perjuangan', 'pengesahan']",Positif
195,"['aturanaturan', 'turunannya', 'pedoman', 'aparat', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Negatif
196,"['berpesan', 'diterjemahkan', 'aturanaturan', 'pelaksanaan', 'teknis']",Negatif
197,"['berhasil', 'disahkan', 'kesamaan', 'komitmen', 'pemerintah', 'penanggulangan', 'kekerasan', 'seksual']",Positif
198,"['terima', 'kasih', 'pemerintah', 'samanya', 'penyusunan']",Positif
199,"['korban', 'kekerasan', 'seksual', 'kaum', 'perempuan', 'kalangan', 'lakilaki', 'memperjuangkan', 'berpartisipasipuan']",Positif
200,"['berkalikali', 'audiensi', 'perwakilan', 'organisasi', 'masyarakat', 'pakar', 'perguruan', 'mahasiswa', 'pegiat', 'media', 'sosial', 'perwakilan', 'masyarakat', 'lintas', 'profesi', 'concern']",Positif
201,"['terwujud', 'upaya', 'elemen', 'bangsa', 'masyarakat', 'sipil', 'menggaungkan', 'menyumbang', 'ide', 'pemikiran']",Negatif
202,"['mengapresiasi', 'membantu', 'mewujudkan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
203,"['sah', 'tunggu', 'perbaikan', 'kuhp', 'melegitimasi', 'paradigma', 'liberal', 'serbaserbi', 'mmc', 'ri', 'mengesahkan', 'rancangan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'undang', 'undang', 'pengesahan', 'disambut', 'gembira', 'komnas', 'pere']",Positif
204,"['pengesahan', 'undang', 'undang', 'bentuk', 'hadiah', 'perempuan', 'indonesia', 'menjelang', 'kartini']",Positif
205,"['terima', 'kasih', 'kepemimpinannya', 'mendorong', 'disahkannya']",Positif
206,"['hashtag', 'isinya', 'pendukung', 'pks', 'likemindhivemindnya', 'nyinyirin', 'tertawa', 'banget', 'teman-teman', 'pathetic', 'tweetnya', 'dikit', 'banget', 'awokawokawowa', 'malu']",Positif
207,"['dana', 'bantuan', 'korban', 'peraturan', 'turunan', 'dikawal', 'dana', 'abadi', 'dana', 'dibayarkan', 'pelaku', 'penjatuhan', 'pidana', 'denda', 'dana', 'terang', 'eddy', 'kas', 'negara']",Positif
208,"['nulis', 'medsos', 'bikin', 'laporan', 'berwajib', 'memanfaatkan', 'fasilitas', 'mbak']",Negatif
209,"['populasi', 'bego', 'nolak', 'contohnya', 'sekumpulan', 'buzzer', 'pks', 'kronikroninya']",Netral
210,"['pemerintah', 'kota', 'malang', 'buktikan', 'undang', 'undang', 'dijalankan', 'sekedar', 'aturan', 'terima', 'kasih']",Positif
211,"['wayahe', 'dear', 'nathan', 'thank', 'salma', 'tayang', 'disahkan', 'tinggal', 'digowo', 'psikolog', 'rio', 'dipenjara']",Positif
212,"['kabareskrim', 'harap', 'kader', 'pdip', 'aktif', 'sosialisasikan']",Negatif
213,"['kado', 'masyarakat', 'indonesia', 'jelang', 'kartini']",Positif
214,"['podcast', 'bicara', 'politik', 'ksbo', 'disolusi']",Negatif
215,"['disahkan', 'pahami', 'kenali', 'isinya', 'salah', 'kekerasan', 'seksual', 'digital']",Negatif
216,"['mengenal', 'perjalanan', 'pembahasan', 'tindak', 'pidana']",Positif
217,"['serap', 'masukan', 'implementasi', 'kelompok', 'perempuan']",Negatif
218,"['krew', 'miss', 'dimasukkan', 'sebutkan', 'ranah', 'kekerasan', 'seksual', 'beda', 'substansi', 'beda', 'undang', 'kalau', 'begitu']",Negatif
